brand,product_name,price_with_discount,original_price,discount_percentage,image,link,sub_category,category
SUPERBE,Salmon Ahumado Portobelo 100 Gr,"$5.617,5",$7.490,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/502257-500-auto?v=636807990806330000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/salmon-ahumado-portobelo-100-gr/p,pescados,pescados-y-mariscos
SIN MARCA,Medallon De Merluza Con Espinaca Y Queso,"$5.249,25",$6.999,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/424329-500-auto?v=636486511577470000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/medallon-de-merluza-con-espinaca-y-queso-2/p,pescados,pescados-y-mariscos
SIN MARCA,Filet De Merluza Congelado Rebozado 500 Gr,"$5.992,5",$7.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/423839-500-auto?v=636482196578300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-merluza-congelado-rebozado-500-gr/p,pescados,pescados-y-mariscos
SOUTH WIND,Caviar De Arenque Abba,"$7.492,5",$9.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/805897-500-auto?v=638399147521730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/caviar-de-arenque-abba/p,pescados,pescados-y-mariscos
SIN MARCA,Bacalao Noruego Trozado Por Kg,"$5.992,5",$7.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496113-500-auto?v=636774294683230000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/bacalao/p,pescados,pescados-y-mariscos
SIN MARCA,Pacú Entero Por Kg,"$5.242,5",$6.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496150-500-auto?v=636774294800800000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/pacu-entero-por-kg/p,pescados,pescados-y-mariscos
SIN MARCA,Cornalitos Congelados Por Kg,"$5.242,5",$6.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/496138-500-auto?v=636774294765830000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cornalitos-congelados-por-kg/p,pescados,pescados-y-mariscos
LA GRENOUILLE,Filet De Merluza Portobelo Al Natural X 500 Gr.,"$6.742,5",$8.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/608633-500-auto?v=637387608761130000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/filet-de-merluza-portobelo-al-natural-x-500-gr/p,pescados,pescados-y-mariscos
SIN MARCA,Medallón De Merluza Rebozado Con Jamón Y Queso Por Kg,"$6.742,5",$8.990,-25%,https://jumboargentinaio.vtexassets.com/arquivos/ids/478087-500-auto?v=636710257001300000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/medallon-de-merluza-rebozado-con-jamon-y-queso-por-kg/p,pescados,pescados-y-mariscos
ARTESANOS DEL MAR,Tarta De Merluza Congelada,$5.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809325-500-auto?v=638437053760770000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/tarta-de-merluza-congelada/p,pescados,pescados-y-mariscos
SIN MARCA,Cornalitos Epuyen,$3.099,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/536178-500-auto?v=636955171100030000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/cornalitos-epuyen-2/p,pescados,pescados-y-mariscos
ARTESANOS DEL MAR,Tarta De Salmon Congelada,$9.990,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/809321-500-auto?v=638437053740730000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/tarta-de-salmon-congelada/p,pescados,pescados-y-mariscos
SIN MARCA,Boquerón Provenzal Por Kg,$66.900,,,https://jumboargentinaio.vtexassets.com/arquivos/ids/496115-500-auto?v=636774294689200000&width=500&height=auto&aspect=true,https://www.jumbo.com.ar/boqueron-provenzal-por-kg/p,pescados,pescados-y-mariscos
